id,longitude,latitude,time,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m
20240116T22,77.56952478372068,12.980655855527084,2024-01-16 22:00:00,289.7975769042969,1.716613724056515e-06,-2.3470687866210938,1.11114501953125
20240116T23,77.56952478372068,12.980655855527084,2024-01-16 23:00:00,289.4952392578125,1.716613724056515e-06,-2.1961441040039062,1.306182861328125
20240117T00,77.56952478372068,12.980655855527084,2024-01-17 00:00:00,289.2994842529297,1.716613724056515e-06,-2.042490005493164,1.3875732421875
20240117T01,77.56952478372068,12.980655855527084,2024-01-17 01:00:00,289.12684631347656,0.0,-1.8493843078613281,1.3477020263671875
20240117T02,77.56952478372068,12.980655855527084,2024-01-17 02:00:00,289.5265808105469,8.568167686462402e-07,-1.5656166076660156,1.1438846588134766
20240117T03,77.56952478372068,12.980655855527084,2024-01-17 03:00:00,292.057861328125,8.568167686462402e-07,-1.7120170593261719,1.7453327178955078
20240117T04,77.56952478372068,12.980655855527084,2024-01-17 04:00:00,294.3291778564453,8.642673492431641e-07,-1.3537540435791016,2.051095962524414
20240117T05,77.56952478372068,12.980655855527084,2024-01-17 05:00:00,296.28211975097656,8.642673492431641e-07,-0.7510852813720703,1.867940902709961
20240117T06,77.56952478372068,12.980655855527084,2024-01-17 06:00:00,298.0218505859375,8.642673492431641e-07,-0.4239044189453125,1.394388198852539
20240117T07,77.56952478372068,12.980655855527084,2024-01-17 07:00:00,299.658935546875,1.284479992591514e-06,-0.702789306640625,0.7097015380859375
20240117T08,77.56952478372068,12.980655855527084,2024-01-17 08:00:00,300.6536407470703,1.284479992591514e-06,-0.659820556640625,0.9581146240234375
20240117T09,77.56952478372068,12.980655855527084,2024-01-17 09:00:00,301.1578063964844,1.284479992591514e-06,-0.6883697509765625,1.205474853515625
20240117T10,77.56952478372068,12.980655855527084,2024-01-17 10:00:00,301.24574279785156,1.284479992591514e-06,-0.8005218505859375,1.3443603515625
20240117T11,77.56952478372068,12.980655855527084,2024-01-17 11:00:00,300.91014099121094,1.284479992591514e-06,-1.0003509521484375,1.5219573974609375
20240117T12,77.56952478372068,12.980655855527084,2024-01-17 12:00:00,299.90098571777344,1.284479992591514e-06,-1.10870361328125,1.6457767486572266
20240117T13,77.56952478372068,12.980655855527084,2024-01-17 13:00:00,297.4018249511719,1.284479992591514e-06,-1.591583251953125,2.066059112548828
20240117T14,77.56952478372068,12.980655855527084,2024-01-17 14:00:00,295.62799072265625,1.284479992591514e-06,-1.9012298583984375,2.178844451904297
20240117T15,77.56952478372068,12.980655855527084,2024-01-17 15:00:00,294.43975830078125,1.284479992591514e-06,-2.0314788818359375,2.2119140625
20240117T16,77.56952478372068,12.980655855527084,2024-01-17 16:00:00,293.4661560058594,1.284479992591514e-06,-2.101043701171875,2.1208858489990234
20240117T17,77.56952478372068,12.980655855527084,2024-01-17 17:00:00,292.6324157714844,1.284479992591514e-06,-2.3306732177734375,1.969156265258789
20240117T18,77.56952478372068,12.980655855527084,2024-01-17 18:00:00,291.90740966796875,1.284479992591514e-06,-2.5376739501953125,1.7497386932373047
20240117T19,77.56952478372068,12.980655855527084,2024-01-17 19:00:00,291.3746337890625,1.284479992591514e-06,-2.417755126953125,1.5562896728515625
20240117T20,77.56952478372068,12.980655855527084,2024-01-17 20:00:00,290.7683410644531,1.284479992591514e-06,-2.3987579345703125,1.440704345703125
20240117T21,77.56952478372068,12.980655855527084,2024-01-17 21:00:00,290.29441833496094,1.2993811537853617e-06,-2.3095550537109375,1.401458740234375
20240117T22,77.56952478372068,12.980655855527084,2024-01-17 22:00:00,290.08424377441406,1.2993811537853617e-06,-2.1326751708984375,1.526214599609375
20240117T23,77.56952478372068,12.980655855527084,2024-01-17 23:00:00,289.92295837402344,1.2993811537853617e-06,-1.909942626953125,1.436279296875
20240118T00,77.56952478372068,12.980655855527084,2024-01-18 00:00:00,289.8284606933594,1.2993811537853617e-06,-1.6739654541015625,1.292694091796875
20240118T01,77.56952478372068,12.980655855527084,2024-01-18 01:00:00,289.70823669433594,0.0,-1.4972076416015625,1.2548675537109375
20240118T02,77.56952478372068,12.980655855527084,2024-01-18 02:00:00,289.95184326171875,0.0,-1.4584808349609375,1.6484375
20240118T03,77.56952478372068,12.980655855527084,2024-01-18 03:00:00,291.77891540527344,0.0,-1.473175048828125,2.367431640625
20240118T04,77.56952478372068,12.980655855527084,2024-01-18 04:00:00,294.0539093017578,0.0,-1.1223297119140625,2.216217041015625
20240118T05,77.56952478372068,12.980655855527084,2024-01-18 05:00:00,296.4464416503906,0.0,-0.9714813232421875,2.4001007080078125
20240118T06,77.56952478372068,12.980655855527084,2024-01-18 06:00:00,298.5025939941406,0.0,-0.746551513671875,2.204831123352051
20240118T07,77.56952478372068,12.980655855527084,2024-01-18 07:00:00,299.4025421142578,0.0,-0.9649505615234375,1.7710647583007812
20240118T08,77.56952478372068,12.980655855527084,2024-01-18 08:00:00,300.2336883544922,0.0,-0.3570098876953125,1.5015525817871094
20240118T09,77.56952478372068,12.980655855527084,2024-01-18 09:00:00,300.7416229248047,0.0,0.088104248046875,1.5750732421875
